Nom.scientifique;Common.name;Nom.vernaculaire;Commentaire;Règne;Embranchement;Classe;Ordre;Famille;Genre;ID.WoRMS;ID.ITIS;Présent.Brunel.1998;Taxons.IML
Salmonema ephemeridarum;;;;Animalia;Nematoda;Chromadorea;Rhabditida;Cystidicolidae;Salmonema;991878;;Oui;
Salvatoria clavata;;;;Animalia;Annelida;Polychaeta;Phyllodocida;Syllidae;Salvatoria;195986;;Oui;Oui
Salvelinus alpinus;Arctic Char;Omble Chevalier;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salvelinus;127188;;;Oui
Salvelinus confluentus;Bull Trout;Omble À Tête Plate;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salvelinus;274352;;;
Salvelinus fontinalis;Brook Trout ou Brook Charr;Omble De Fontaine (L ) ou Saumon De Fontaine ou Truite Mouchetée;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salvelinus;154241;;;Oui
Salvelinus malma;Dolly Varden;Dolly Varden;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salvelinus;254570;;;
Salvelinus namaycush;Char ou Lake Trout;Cristivomer ou L Omble Du Canada ou Truite De Lac D Amérique ou Touladi;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salvelinus;567548;;;
Samytha sexcirrata;;;;Animalia;Annelida;Polychaeta;Terebellida;Ampharetidae;Samytha;129819;;Oui;Oui
Sander canadensis;Sauger;Doré Noir;;Animalia;Chordata;Actinopteri;Perciformes;Percidae;Sander;723270;;;
Sander vitreus;Walleye;Doré Jaune;;Animalia;Chordata;Actinopteri;Perciformes;Percidae;Sander;275311;;;
Saphobranchia hirsuta;;;;Animalia;Annelida;Polychaeta;Terebellida;Flabelligeridae;Saphobranchia;1468928;;Oui;Oui
Saphobranchia longisetosa;;;;Animalia;Annelida;Polychaeta;Terebellida;Flabelligeridae;Saphobranchia;1468915;;Oui;Oui
Sarda sarda;Atlantic Bonito ou Bonito;Bonite À  Dos Rayé ou Pelamide;;Animalia;Chordata;Actinopteri;Scombriformes;Scombridae;Sarda;127021;;;
Sargocentron bullisi;Deepwater Squirrelfish;Poisson-Soldat De Profondeur;;Animalia;Chordata;Actinopteri;Holocentriformes;Holocentridae;Sargocentron;272206;;;
Sarsameira parva;;;;Animalia;Arthropoda;Hexanauplia;Harpacticoida;Ameiridae;Sarsameira;115615;;Oui;Oui
Sarsamphiascus demersus;;;;Animalia;Arthropoda;Hexanauplia;Harpacticoida;Miraciidae;Sarsamphiascus;549129;;Oui;Oui
Sarsamphiascus tenuiremis;;;;Animalia;Arthropoda;Hexanauplia;Harpacticoida;Miraciidae;Sarsamphiascus;549122;;Oui;Oui
Sarsia princeps;;;;Animalia;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Sarsia;117487;;Oui;
Sarsia tubulosa;;;;Animalia;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Sarsia;117491;;Oui;
Sarsicytheridea punctillata;;;;Animalia;Arthropoda;Ostracoda;Podocopida;Cytherideidae;Sarsicytheridea;127995;;Oui;
Sarsiflustra abyssicola;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Flustridae;Sarsiflustra;111373;;Oui;
Saurida brasiliensis;Largescale Lizardfish;Sauride À Grandes Écailles;;Animalia;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;158756;;;
Saurida caribbaea;Smallscale Lizzardfish;Sauride À Petites Écailles;;Animalia;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;158757;;;
Saurida normani;Shortjaw Lizardfish;Anoli;;Animalia;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;272117;;;
Sayella fusca;Brown Pyram;Pyramidelle Brune;;Animalia;Mollusca;Gastropoda;rank absent;Pyramidellidae;Sayella;160443;;Oui;Oui
Scabrotrophon fabricii;;;;Animalia;Mollusca;Gastropoda;Neogastropoda;Muricidae;Scabrotrophon;147146;;;
Scaeurgus unicirrhus;Unihorn Octopus;Poulpe Licorne;;Animalia;Mollusca;Cephalopoda;Octopoda;Octopodidae;Scaeurgus;140607;;;
Scalibregma inflatum;;;;Animalia;Annelida;Polychaeta;rank absent;Scalibregmatidae;Scalibregma;130980;;Oui;Oui
Scaphander punctostriatus;Giant Canoe Bubble;;;Animalia;Mollusca;Gastropoda;Cephalaspidea;Scaphandridae;Scaphander;139490;;Oui;Oui
Schedophilus medusophagus;Cornish Blackfish;Rouffe Des Méduses;;Animalia;Chordata;Actinopteri;Scombriformes;Centrolophidae;Schedophilus;126833;;;
